# state-wise percentages of genetically modified crop planted by year
# crop name: cotton
Years,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alabama,,,,,,10,10,10,18,13,11,18,17,12,9,4
Arkansas,33,21,27,24,34,42,28,32,30,28,20,18,10,22,13,7
California,3,11,6,9,6,8,9,4,7,8,19,9,21,9,15,10
Georgia,18,13,8,14,13,29,19,17,19,20,20,18,13,5,3,1
Louisiana,37,30,27,30,26,21,13,17,19,20,19,26,24,19,4,5
Mississippi,29,10,19,15,16,14,7,16,19,14,12,15,9,2,2,1
Missouri,,,,,,20,32,13,12,18,22,22,33,6,21,6
North Carolina,11,9,14,16,18,17,19,13,19,15,14,10,16,2,3,1
Tennessee,,,,,,13,16,10,10,7,8,9,7,4,2,1
Texas,7,8,7,8,10,14,18,16,16,15,13,18,11,8,4,5
Other States,17,18,19,18,22,18,21,27,22,24,24,21,24,5,3,10
